machine	verdict	diagnoses
1RB1RC_0LC1RE_1RA0LD_1LB0RD_0RF---_0RA0RF	open	no-period,too-many-params
1RB1LC_1LA0RE_0LD---_1LB1LD_1RB1RF_0LA0RB	open	too-many-params
1RB0LC_1RC1RA_1RD0RF_0LE---_1LA1LE_0RA1RF	open	no-period,too-many-params
1RB1RE_1LC1RC_0RF1LD_1LE0LB_1LB0RA_---1RA	open	too-many-params
1RB1LC_1LA1RF_0RD1RD_0RA0LE_1LA0LE_0RC---	open	silent
1RB1RD_1LC0LE_1LD0LB_0RB0RA_1RD1LF_0LC---	open	no-period
1RB0LA_0LC0RA_1LA1LD_1LC0LE_1RF0LF_0RB---	open	too-many-params
1RB1RA_1LC0RD_1LD1LB_1LE0LF_0RA---_0LB1LF	open	no-period,too-many-params
1RB0LD_0RC0LE_1RD1RA_0RE1RF_1LF0RC_0LA---	open	silent
1RB0LB_1RC0LD_0LA1RD_1LC1LE_1LF0RE_1LD---	open	no-period,too-many-params
1RB0LA_1RC---_1RD1RA_0RE1LC_1LF0RF_1LD0RC	open	no-period,too-many-params
1RB0LC_1RC1RA_0RD1LE_1RE1RF_1LC0RB_---1RD	open	too-many-params
1RB0RD_1RC0RA_0LA0LE_1LC1RF_1LA1LC_0RB---	open	no-period
1RB0RA_0LC0RF_0LB1RD_1LE---_1RA0LF_1LE0RC	open	too-many-params
1RB1RB_0LC0LD_0LE1LD_1LB0RE_1RA0RF_1RD---	open	silent
1RB0LB_1RC1LC_1LD1RE_---0LA_1LE0RF_1RA0LF	open	no-period,too-many-params
1RB0RE_1LC0LB_1RD0LB_1RF0LA_1RC---_0RA0LD	open	silent
1RB0LA_0RC1LE_0RD1RE_1LA1RF_1RB0LD_1RC---	open	too-many-params
1RB1LF_0LC0RE_1LA1RD_0LB1LB_1RC1RD_0LD---	open	no-period,too-many-params
1RB0RE_1LC0RA_---0LD_1RE0LF_1RA0LB_1LD0LF	open	too-many-params
1RB---_1LC0RF_1RF0LD_0LE1LC_0RC0LC_1RB0RA	open	silent
1RB1RF_1LC0LB_1RE1LD_1RE0LB_1RA0RE_---0RC	open	silent
1RB1LD_1RC0RB_0LA1RE_1LA0LB_0RA0RF_---0LC	open	too-many-params
1RB1LD_0LC0RA_1RA1LC_1RE0LC_---1RF_0RD0RB	open	no-period,too-many-params
1RB---_0RC1LC_1LD0RF_0LE0LD_0RF1LD_1RF1RA	open	too-many-params
1RB0LA_1RC0RB_1LD1RB_0LA0LE_---1LF_1LA1LC	open	too-many-params
1RB0LE_1RC1RA_1RD0RF_1RE0RA_1LA1LD_1RA---	open	no-period
1RB0LF_1RC0RB_0RD1LE_0LE0RA_1LC1LA_0LD---	open	no-period
